p,H,t,R_c,beta,H_over_p,t_over_p,Rc_over_t,f_over_t,alpha_deg,T_L,lam,J1,J2,t_over_Rmin,A11,A12,A22,A66,D11,D12,D22,D66,A22_over_A11,A66_over_A11,D22_over_D11,t_b,t_b_over_t,t_s,Kt,A11_over_Et,A22_over_Et,A66_over_Gt,D11_over_Dflat,D22_over_Dflat,D66_over_Gt3,vm_per_N_x,vm_per_N_y,vm_per_N_xy,vm_per_M_x,vm_per_M_y,vm_per_M_xy,vm_per_N_xp,vm_per_N_yp,vm_per_M_xp,vm_per_M_yp,ZA11,ZA12,ZA22,ZA66,ZA16,ZA26,ZD11,ZD12,ZD22,ZD66,ZD16,ZD26,coupA16,coupD16,ZA22_over_ZA11,ZD22_over_ZD11
9.0,3.2,0.6,1.5,20.0,0.35555555555555557,0.06666666666666667,2.5,2.666666666666667,44.30459982548396,3.3600595232822883,1.2621873212181975,0.8067728080915955,1.4424102323767394,0.39999999999999997,2602.991609323923,780.8974827971768,146395.56104190642,35286.72867310641,3024.5767434091204,907.3730230227361,170106.04555144344,1686.4764438123145,56.24127274076379,13.556220675744497,56.241272740763776,3.7341051493604263,6.223508582267377,0.7573123927309184,17.000000000000004,0.022478338595197954,1.2642103716917652,0.7922754278935809,0.7922754278935809,44.55857842596821,1.2621873212181975,25.274236143832685,1.3204590464893016,3.169193732868301,14.972713354979865,2.1590776496074917,23.554872721872478,22.29674465316578,3.218166085276754,15.082769758713066,7.928401018338644,18773.824035346814,1430.6003852507176,128925.32281097643,35936.43157555994,22332.734730945976,23881.30626718174,5570.308907885009,17906.459898288234,133562.13963643656,18685.56331907781,6590.7516350893775,47108.19734392685,0.859801227473918,0.646014414342092,6.867291531455688,23.97751037601769
9.0,3.2,0.6,1.5,22.5,0.35555555555555557,0.06666666666666667,2.5,2.666666666666667,44.30459982548396,3.3600595232822883,1.2621873212181975,0.8067728080915955,1.4424102323767394,0.39999999999999997,2602.991609323923,780.8974827971768,146395.56104190642,35286.72867310641,3024.5767434091204,907.3730230227361,170106.04555144344,1686.4764438123145,56.24127274076379,13.556220675744497,56.241272740763776,3.7341051493604263,6.223508582267377,0.7573123927309184,17.000000000000004,0.022478338595197954,1.2642103716917652,0.7922754278935809,0.7922754278935809,44.55857842596821,1.2621873212181975,25.274236143832685,1.3204590464893016,3.169193732868301,14.972713354979865,2.1590776496074917,23.554872721872478,21.546854469638074,3.8147485358252498,15.118265665186563,8.755484152976637,22874.6954864556,1567.127856948472,124551.39641647214,36072.959047257704,24632.944858352843,26205.405606655437,6921.845035846708,21478.619332217466,125066.28464061636,22257.722753007045,8964.863591997695,50107.356210387145,0.857526973436284,0.7222580407597085,5.444942272137377,18.06834507171508
9.0,3.2,0.6,1.5,25.0,0.35555555555555557,0.06666666666666667,2.5,2.666666666666667,44.30459982548396,3.3600595232822883,1.2621873212181975,0.8067728080915955,1.4424102323767394,0.39999999999999997,2602.991609323923,780.8974827971768,146395.56104190642,35286.72867310641,3024.5767434091204,907.3730230227361,170106.04555144344,1686.4764438123145,56.24127274076379,13.556220675744497,56.241272740763776,3.7341051493604263,6.223508582267377,0.7573123927309184,17.000000000000004,0.022478338595197954,1.2642103716917652,0.7922754278935809,0.7922754278935809,44.55857842596821,1.2621873212181975,25.274236143832685,1.3204590464893016,3.169193732868301,14.972713354979865,2.1590776496074917,23.554872721872478,20.72860162590587,4.493475342368071,15.134475043198085,9.541207496323171,27362.4774816384,1703.655328646236,119790.55947789382,36209.48651895546,26763.588925789536,28312.16046202529,8722.956425286095,25050.77876614671,116120.85438331854,25829.88218693628,11739.234827719156,52256.680536556625,0.850267264685209,0.7820719795059338,4.377913496987958,13.312098412724792
9.0,3.2,0.6,1.5,27.5,0.35555555555555557,0.06666666666666667,2.5,2.666666666666667,44.30459982548396,3.3600595232822883,1.2621873212181975,0.8067728080915955,1.4424102323767394,0.39999999999999997,2602.991609323923,780.8974827971768,146395.56104190642,35286.72867310641,3024.5767434091204,907.3730230227361,170106.04555144344,1686.4764438123145,56.24127274076379,13.556220675744497,56.241272740763776,3.7341051493604263,6.223508582267377,0.7573123927309184,17.000000000000004,0.022478338595197954,1.2642103716917652,0.7922754278935809,0.7922754278935809,44.55857842596821,1.2621873212181975,25.274236143832685,1.3204590464893016,3.169193732868301,14.972713354979865,2.1590776496074917,23.554872721872478,19.84825625928396,5.344173747139082,15.125735099311239,10.28145158703931,32206.124551759138,1836.0344822026932,114682.15410066018,36341.86567251192,28708.17942023897,30185.80918189441,11041.28749756774,28514.399943275876,106875.28095677853,29293.503364065455,14885.63332710754,53546.93004134682,0.8391368792669555,0.8276977995084177,3.5608802889758464,9.679603124211903
9.0,3.2,0.6,1.5,30.0,0.35555555555555557,0.06666666666666667,2.5,2.666666666666667,44.30459982548396,3.3600595232822883,1.2621873212181975,0.8067728080915955,1.4424102323767394,0.39999999999999997,2602.991609323923,780.8974827971768,146395.56104190642,35286.72867310641,3024.5767434091204,907.3730230227361,170106.04555144344,1686.4764438123145,56.24127274076379,13.556220675744497,56.241272740763776,3.7341051493604263,6.223508582267377,0.7573123927309184,17.000000000000004,0.022478338595197954,1.2642103716917652,0.7922754278935809,0.7922754278935809,44.55857842596821,1.2621873212181975,25.274236143832685,1.3204590464893016,3.169193732868301,14.972713354979865,2.1590776496074917,23.554872721872478,18.912570394368014,6.2580842628989695,15.088224797178885,10.972808338336431,37371.788406242595,1960.243044024125,109268.07312253384,36466.074234333355,30451.109023771583,31812.89997825549,13938.074481625605,31764.242486814834,97478.80888564275,32543.345907604402,18358.977231074245,53989.42101361324,0.8248722009600974,0.8620173192378788,2.923811724896785,6.993706986868802
9.0,3.2,0.6,1.5,32.5,0.35555555555555557,0.06666666666666667,2.5,2.666666666666667,44.30459982548396,3.3600595232822883,1.2621873212181975,0.8067728080915955,1.4424102323767394,0.39999999999999997,2602.991609323923,780.8974827971768,146395.56104190642,35286.72867310641,3024.5767434091204,907.3730230227361,170106.04555144344,1686.4764438123145,56.24127274076379,13.556220675744497,56.241272740763776,3.7341051493604263,6.223508582267377,0.7573123927309184,17.000000000000004,0.022478338595197954,1.2642103716917652,0.7922754278935809,0.7922754278935809,44.55857842596821,1.2621873212181975,25.274236143832685,1.3204590464893016,3.169193732868301,14.972713354979865,2.1590776496074917,23.554872721872478,17.9287287391433,7.2258660106183195,15.016791135184565,11.61252360206141,42822.9839361868,2072.5069998121367,103592.34968101363,36578.33819012137,31977.79393955947,33182.36875781938,17465.282636504053,34701.56157557779,88076.96255323841,35480.66499636738,22098.320139370255,53615.297985751065,0.8079752380879656,0.8877191249170127,2.4190829353550667,5.042973788992652
9.0,3.2,0.6,1.5,35.0,0.35555555555555557,0.06666666666666667,2.5,2.666666666666667,44.30459982548396,3.3600595232822883,1.2621873212181975,0.8067728080915955,1.4424102323767394,0.39999999999999997,2602.991609323923,780.8974827971768,146395.56104190642,35286.72867310641,3024.5767434091204,907.3730230227361,170106.04555144344,1686.4764438123145,56.24127274076379,13.556220675744497,56.241272740763776,3.7341051493604263,6.223508582267377,0.7573123927309184,17.000000000000004,0.022478338595197954,1.2642103716917652,0.7922754278935809,0.7922754278935809,44.55857842596821,1.2621873212181975,25.274236143832685,1.3204590464893016,3.169193732868301,14.972713354979865,2.1590776496074917,23.554872721872478,16.904296892868036,8.238542242275898,14.905284003741803,12.198475281487084,48520.7809390849,2169.4152660784202,97700.73614558295,36675.246456387664,33274.82496204712,34285.58324777445,21662.961960647564,37237.108255407875,78808.18986943472,38016.21167619745,26028.363583884868,52474.24807060552,0.7887972139912273,0.9069921484642318,2.0135854010313787,3.6379231063875683
9.0,3.2,0.6,1.5,37.5,0.35555555555555557,0.06666666666666667,2.5,2.666666666666667,44.30459982548396,3.3600595232822883,1.2621873212181975,0.8067728080915955,1.4424102323767394,0.39999999999999997,2602.991609323923,780.8974827971768,146395.56104190642,35286.72867310641,3024.5767434091204,907.3730230227361,170106.04555144344,1686.4764438123145,56.24127274076379,13.556220675744497,56.241272740763776,3.7341051493604263,6.223508582267377,0.7573123927309184,17.000000000000004,0.022478338595197954,1.2642103716917652,0.7922754278935809,0.7922754278935809,44.55857842596821,1.2621873212181975,25.274236143832685,1.3204590464893016,3.169193732868301,14.972713354979865,2.1590776496074917,23.554872721872478,15.847167626337635,9.2872900867392,14.749558206565174,12.729169038280109,54424.02271753246,2248.0233341904295,91640.27823091138,36753.85452449968,34330.12392377322,35116.354297924525,26556.909841351022,39293.841223486976,69800.77605257308,40072.94464427656,30061.453299400575,50632.699608595314,0.767588758022066,0.9215004986885296,1.6838203729727217,2.628347065586985
9.0,3.2,0.6,1.5,40.0,0.35555555555555557,0.06666666666666667,2.5,2.666666666666667,44.30459982548396,3.3600595232822883,1.2621873212181975,0.8067728080915955,1.4424102323767394,0.39999999999999997,2602.991609323923,780.8974827971768,146395.56104190642,35286.72867310641,3024.5767434091204,907.3730230227361,170106.04555144344,1686.4764438123145,56.24127274076379,13.556220675744497,56.241272740763776,3.7341051493604263,6.223508582267377,0.7573123927309184,17.000000000000004,0.022478338595197954,1.2642103716917652,0.7922754278935809,0.7922754278935809,44.55857842596821,1.2621873212181975,25.274236143832685,1.3204590464893016,3.169193732868301,14.972713354979865,2.1590776496074917,23.554872721872478,14.765506031206982,10.363336468314104,14.546031693585466,13.203742185309258,60489.57224862941,2305.942737776184,85458.88989264292,36811.773928085415,35133.10267543415,35670.91592594259,32156.720190897293,40809.26768933711,61170.11277132653,41588.37111012668,34100.00085564649,48171.562077763316,0.7445311541666402,0.9324650464190904,1.4127871419123694,1.9022497446316728
9.0,3.2,0.6,1.5,42.5,0.35555555555555557,0.06666666666666667,2.5,2.666666666666667,44.30459982548396,3.3600595232822883,1.2621873212181975,0.8067728080915955,1.4424102323767394,0.39999999999999997,2602.991609323923,780.8974827971768,146395.56104190642,35286.72867310641,3024.5767434091204,907.3730230227361,170106.04555144344,1686.4764438123145,56.24127274076379,13.556220675744497,56.241272740763776,3.7341051493604263,6.223508582267377,0.7573123927309184,17.000000000000004,0.022478338595197954,1.2642103716917652,0.7922754278935809,0.7922754278935809,44.55857842596821,1.2621873212181975,25.274236143832685,1.3204590464893016,3.169193732868301,14.972713354979865,2.1590776496074917,23.554872721872478,13.667694529299808,11.457917917662215,14.291722609454816,13.621970447917414,66672.58608810054,2341.4136250663546,79204.93427859145,36847.24481537558,35674.82135173421,35947.876295129725,38454.28722714586,41737.34218663621,53016.396740479744,42516.445607425776,38039.25891005706,45183.5777779155,0.7197565845989013,0.9407650815801564,1.187968532882927,1.378686241856906
