p,H,t,R_c,beta,H_over_p,t_over_p,Rc_over_t,f_over_t,alpha_deg,T_L,lam,J1,J2,t_over_Rmin,A11,A12,A22,A66,D11,D12,D22,D66,A22_over_A11,A66_over_A11,D22_over_D11,t_b,t_b_over_t,t_s,Kt,A11_over_Et,A22_over_Et,A66_over_Gt,D11_over_Dflat,D22_over_Dflat,D66_over_Gt3,vm_per_N_x,vm_per_N_y,vm_per_N_xy,vm_per_M_x,vm_per_M_y,vm_per_M_xy,vm_per_N_xp,vm_per_N_yp,vm_per_M_xp,vm_per_M_yp,ZA11,ZA12,ZA22,ZA66,ZA16,ZA26,ZD11,ZD12,ZD22,ZD66,ZD16,ZD26,coupA16,coupD16,ZA22_over_ZA11,ZD22_over_ZD11
9.0,3.2,0.3,1.5,60.0,0.35555555555555557,0.03333333333333333,5.0,5.333333333333334,44.30459982548396,3.3600595232822883,1.2621873212181975,0.8067728080915955,1.4424102323767394,0.19999999999999998,329.45159920014856,98.83547976004456,73110.29654246166,17643.364336553204,378.07209292614004,113.42162787784201,83899.92003489034,210.80955547653932,221.91513630518352,53.55373711764714,221.9151363051834,3.710924544248948,12.369748480829827,0.3786561963654592,33.00000000000001,0.00569001034887994,1.2626994221495969,0.7922754278935809,0.7922754278935809,175.81790957225152,1.2621873212181975,97.94733324438627,2.640918092978603,6.059198720453514,59.53811741997149,4.027092745606028,92.93137827000095,24.219660081058397,73.34810669061967,43.11412524427589,59.9664116535227,54414.71908740959,599.2016989967074,18024.296615778865,18143.730555789873,16046.401728809848,15468.628586070485,47417.97480249527,15714.904874781838,5657.0508315132,15812.29280238054,27090.53107454796,9075.489969833056,0.5106886092184753,0.9893468930520467,0.33123935799108634,0.11930182288627623
9.0,3.2,0.35,1.5,60.0,0.35555555555555557,0.03888888888888889,4.285714285714286,4.571428571428572,44.30459982548396,3.3600595232822883,1.2621873212181975,0.8067728080915955,1.4424102323767394,0.2333333333333333,522.3689418242584,156.71068254727751,85307.76675305342,20583.92505931207,600.364480896602,180.1093442689806,98045.17267869253,334.75776633543046,163.30941586062687,39.40495579125981,163.30941586062684,3.7137224622931817,10.610635606551948,0.4417655624263691,28.428571428571434,0.00773307093744276,1.2628832976025672,0.7922754278935809,0.792275427893581,129.38603733002887,1.2621873212181978,72.34669288064188,2.2636440796959456,5.233889141188753,43.78192700828942,3.4958315185557285,68.44208256065234,17.880456402474557,54.16798560297382,31.77464108680967,44.106705239678476,63514.97715789583,753.150824897555,21122.278252281278,21180.365201662353,18700.93197036493,18012.22221688207,55506.54174067298,18357.5382328395,6784.137641775067,18512.18665490596,31592.163303539808,10602.676379556884,0.5098688209321756,0.9855494510105961,0.3325558663080692,0.12222230802038818
9.0,3.2,0.4,1.5,60.0,0.35555555555555557,0.044444444444444446,3.75,4.0,44.30459982548396,3.3600595232822883,1.2621873212181975,0.8067728080915955,1.4424102323767394,0.26666666666666666,778.3932424861952,233.51797274585854,97510.9165898686,23524.48578207094,896.170886936036,268.8512660808108,112265.16346310414,499.69672409253786,125.2720492259386,30.22185252653725,125.27204922593857,3.716948212193885,9.292370530484712,0.5048749284872791,25.000000000000004,0.010082814021841906,1.2630947744801633,0.7922754278935809,0.7922754278935809,99.24996640358621,1.2621873212181975,55.68558605417083,1.9806885697339522,4.614768504009799,33.55197411819979,3.0965532145353687,52.52553402420696,13.76022368420319,41.68722153529065,24.40230539794363,33.806553195155566,72629.47373578935,931.8299899794724,24263.212062098188,24222.797799304564,21346.3762788793,20540.035016622944,63680.75689627925,21011.009688863636,7996.260608195243,21241.855146875372,36087.58494017805,12136.603442243013,0.5089270796367479,0.9811998864430068,0.334068399701788,0.12556792660645102
9.0,3.2,0.45,1.5,60.0,0.35555555555555557,0.05,3.333333333333333,3.555555555555556,44.30459982548396,3.3600595232822883,1.2621873212181975,0.8067728080915955,1.4424102323767394,0.3,1106.123253014624,331.8369759043872,109720.51994057177,26465.046504829807,1275.993313625723,382.79799408771686,126570.56926535511,711.4822497333204,99.19375588709477,23.925947160682206,99.19375588709477,3.7206006811643224,8.268001513698493,0.5679842945481889,22.333333333333336,0.01273601903298358,1.2633335629311662,0.7922754278935809,0.7922754278935809,78.5887753898194,1.2621873212181975,44.23176020977125,1.760612061985735,4.133104682137704,26.53590181367858,2.7852441586246015,41.59808735118114,10.931207699517243,33.10839364845313,19.339093736485573,26.740282343332815,81760.1489144715,1138.608830115333,27452.950570692974,27271.818359040757,23981.49663423952,23049.91673983292,71952.8557289467,23676.867542563738,9305.567753082054,24005.55179820935,40575.908756983605,13678.234108314628,0.5078651335852933,0.9763114687633471,0.3357742241811624,0.1293286786022367
9.0,3.2,0.5,1.5,60.0,0.35555555555555557,0.05555555555555555,3.0,3.2,44.30459982548396,3.3600595232822883,1.2621873212181975,0.8067728080915955,1.4424102323767394,0.3333333333333333,1513.9952258279031,454.1985677483709,121937.33606788058,29405.607227588673,1750.333763546945,525.1001290640835,140972.06696267537,975.9701642432377,80.54010606354532,19.422523087223546,80.5401060635453,3.7246786138656645,7.449357227731329,0.6310936606090988,20.200000000000003,0.01568906969769848,1.2635993374909904,0.7922754278935807,0.7922754278935809,63.80994699408974,1.2621873212181975,36.016730728188435,1.5845508557871615,3.7476584199460676,21.515594789444684,2.5354972188739406,33.770938467260464,8.904473691006439,26.956199605655723,15.711029190908818,21.682584816106125,90908.90612339419,1376.7933017215566,30697.235702367892,30328.20196156187,26605.078412464787,25539.757776440085,80335.07369830798,26356.660093649305,10724.207098743835,26807.53012882847,45056.24752647737,15228.531328194915,0.5066849392451437,0.9708989232080723,0.33767027908906244,0.1334934618846277
9.0,3.2,0.55,1.5,60.0,0.35555555555555557,0.061111111111111116,2.727272727272727,2.909090909090909,44.30459982548396,3.3600595232822883,1.2621873212181975,0.8067728080915955,1.4424102323767394,0.3666666666666667,2010.2651136329162,603.0795340898749,134162.10800753866,32346.167950347546,2329.694239280984,698.9082717842953,155480.33343229486,1299.0162886077499,66.73851478479037,16.09049857702207,66.73851478479034,3.7291806145391764,6.7803283900712294,0.6942030266700088,18.454545454545457,0.018937966214158417,1.263891738177472,0.7922754278935809,0.7922754278935807,52.875285358101834,1.2621873212181975,29.922139750767172,1.4405007779883285,3.4321865738728277,17.799838579454413,2.3305088568738013,27.971732606180044,7.4024607714039234,22.39254625670563,13.021864394168578,17.938064387324108,100077.60811188688,1649.6187062651738,34001.68666493406,33392.70712252286,29215.932948536003,28007.49360299021,88839.6462639958,29051.935641829845,12264.326667488915,29652.04365865331,49527.71402118029,16788.45805230707,0.505388652431085,0.9649783229947897,0.3397531906130304,0.13805015196756024
9.0,3.2,0.6,1.5,60.0,0.35555555555555557,0.06666666666666667,2.5,2.666666666666667,44.30459982548396,3.3600595232822883,1.2621873212181975,0.8067728080915955,1.4424102323767394,0.39999999999999997,2602.991609323923,780.8974827971768,146395.56104190642,35286.72867310641,3024.5767434091204,907.3730230227361,170106.04555144344,1686.4764438123145,56.24127274076379,13.556220675744497,56.241272740763776,3.7341051493604263,6.223508582267377,0.7573123927309184,17.000000000000004,0.022478338595197954,1.2642103716917652,0.7922754278935809,0.7922754278935809,44.55857842596821,1.2621873212181975,25.274236143832685,1.3204590464893016,3.169193732868301,14.972713354979865,2.1590776496074917,23.554872721872478,6.258084262898971,18.912570394368007,10.972808338336437,15.088224797178883,109268.07312253382,1960.2430440241087,37371.788406242624,36466.074234333355,31812.899978255504,30451.10902377159,97478.8088856427,31764.242486814834,13938.074481625616,32543.345907604424,53989.42101361325,18358.977231074256,0.5039786186577621,0.9585669741020355,0.3420192864967399,0.14298568725821292
9.0,3.2,0.65,1.5,60.0,0.35555555555555557,0.07222222222222223,2.3076923076923075,2.4615384615384617,44.30459982548396,3.3600595232822883,1.2621873212181975,0.8067728080915955,1.4424102323767394,0.43333333333333335,3300.0200947125604,990.006028413768,158638.401255347,38227.28939586528,3845.4832785126378,1153.6449835537912,184859.88019735107,2144.206450842393,48.071950079796345,11.583956551390322,48.07195007979634,3.7394505490063685,5.753000844625182,0.8204217587918283,15.76923076923077,0.02630546109774859,1.264554812716995,0.7922754278935807,0.7922754278935807,38.08622481914949,1.2621873212181975,21.64737441293059,1.218885273682432,2.9465677063212103,12.771774147129937,2.013449644167738,20.11277617814959,5.365870153227037,16.197349515673654,9.375206364997826,12.868957497011806,118482.0712696063,2311.7407239958034,40812.880689289144,39549.02409144733,34394.84994925643,32868.642184673314,106264.79702288142,34495.12892831377,15757.598563462278,35485.69039560238,58440.48127629717,19941.05181491968,0.5024573627901312,0.9516832941527634,0.3444646118349781,0.14828615877438017
9.0,3.2,0.7,1.5,60.0,0.35555555555555557,0.07777777777777778,2.142857142857143,2.285714285714286,44.30459982548396,3.3600595232822883,1.2621873212181975,0.8067728080915955,1.4424102323767394,0.4666666666666666,4108.967559670981,1232.6902679012944,170891.31417694886,41167.85011862414,4802.915847172816,1440.8747541518449,199752.5142472477,2678.0621306834437,41.58984262962463,10.019025344147664,41.589842629624634,3.745215011425476,5.350307159179252,0.8835311248527382,14.714285714285717,0.030414267651154563,1.2649246053068013,0.7922754278935809,0.792275427893581,32.95061036541255,1.2621873212181978,18.761875730051475,1.1318220398479728,2.7556569457235525,11.024781913610394,1.8880871288904586,17.37781350283534,4.656568770242,14.037347064242498,8.105169881000005,11.106906875337692,127721.32113644421,2707.0966540864065,44330.14782780534,42642.25650480927,36960.68619229495,35258.18834437719,115209.84613534457,37246.14326603616,17735.046935307226,38483.33064256778,62880.00758175297,21535.644754266516,0.5008275780749311,0.9443466869077349,0.3470849458286421,0.15393690322676676
9.0,3.2,0.75,1.5,60.0,0.35555555555555557,0.08333333333333333,2.0,2.1333333333333333,44.30459982548396,3.3600595232822883,1.2621873212181975,0.8067728080915955,1.4424102323767394,0.5,5037.208545868925,1511.1625637606776,183154.9635154623,44108.41084138301,5907.376451970939,1772.2129355912818,214794.62457836315,3293.899304320927,36.36040911303342,8.756518702716178,36.36040911303341,3.7513966048004233,5.001862139733897,0.9466404909136481,13.800000000000002,0.03479936819253143,1.2653192643555253,0.7922754278935809,0.792275427893581,28.807458688414208,1.2621873212181973,16.42779568124454,1.0563672371914412,2.5901169976625815,9.61489926877351,1.7789298932488689,15.16834591723722,4.083185771815417,12.290267924240235,7.078607561036032,9.684461347448439,136987.48660401182,3149.200732812763,47928.609119215194,45746.44901043511,39509.346945025056,37617.90338933485,124326.19168266481,40018.83379969149,19882.567619468788,41540.52016842116,67307.11270250156,23143.718999537956,0.4990921146392342,0.9365774138701289,0.3498758193714575,0.15992259837104844
